iata_code,location
LBI,"Albi-Le Séquestre Airport, Albi/Le Séquestre, France"
DCM,"Castres-Mazamet Airport, Castres/Mazamet, France"
RDZ,"Rodez-Marcillac Airport, Rodez/Marcillac, France"
RYN,"Royan-Médis Airport, Royan/Médis, France"
XMW,"Montauban Airport, Montauban, France"
RCO,"Rochefort-Saint-Agnant (BA 721) Airport, Rochefort/Saint-Agnant, France"
IDY,"Île d'Yeu Airport, Île d'Yeu, France"
CMR,"Colmar-Houssen Airport, Colmar/Houssen, France"
DLE,"Dole-Tavaux Airport, Dole/Tavaux, France"
MVV,"Megève Airport, Verdun, France"
OBS,"Aubenas-Ardèche Méridional Airport, Aubenas/Ardèche Méridional, France"
LPY,"Le Puy-Loudes Airport, Le Puy/Loudes, France"
AHZ,"Altiport L'Alpe d'Huez - Henri GIRAUD, L'Alpe d'Huez, France"
ETZ,"Metz-Nancy-Lorraine Airport, Metz / Nancy, France"
ANE,"Angers-Loire Airport, Angers/Marcé, France"
BIA,"Bastia-Poretta Airport, Bastia/Poretta, France"
CLY,"Calvi-Sainte-Catherine Airport, Calvi/Sainte-Catherine, France"
FSC,"Figari Sud-Corse Airport, Figari Sud-Corse, France"
AJA,"Ajaccio-Napoléon Bonaparte Airport, Ajaccio/Napoléon Bonaparte, France"
PRP,"Propriano Airport, Propriano, France"
SOZ,"Solenzara (BA 126) Air Base, Solenzara, France"
MFX,"Méribel Altiport, France"
AUF,"Auxerre-Branches Airport, Auxerre/Branches, France"
CMF,"Chambéry-Savoie Airport, Chambéry/Aix-les-Bains, France"
CFE,"Clermont-Ferrand Auvergne Airport, Clermont-Ferrand/Auvergne, France"
BOU,"Bourges Airport, Bourges, France"
QNJ,"Annemasse Airport, Annemasse, France"
CVF,"Courchevel Airport, Courcheval, France"
LYS,"Lyon Saint-Exupéry Airport, Lyon, France"
SYT,"Saint-Yan Airport, Saint-Yan, France"
RNE,"Roanne-Renaison Airport, Roanne/Renaison, France"
NCY,"Annecy-Haute-Savoie-Mont Blanc Airport, Annecy/Meythet, France"
GNB,"Grenoble-Isère Airport, Grenoble/Saint-Geoirs, France"
VAF,"Valence-Chabeuil Airport, Valence/Chabeuil, France"
VHY,"Vichy-Charmeil Airport, Vichy/Charmeil, France"
AUR,"Aurillac Airport, Aurillac, France"
CHR,"Châteauroux-Déols ""Marcel Dassault"" Airport, Châteauroux/Déols, France"
LYN,"Lyon-Bron Airport, Lyon/Bron, France"
CEQ,"Cannes-Mandelieu Airport, Cannes/Mandelieu, France"
EBU,"Saint-Étienne-Bouthéon Airport, Saint-Étienne/Bouthéon, France"
CCF,"Carcassonne Airport, Carcassonne/Salvaza, France"
MRS,"Marseille Provence Airport, Marseille, France"
NCE,"Nice-Côte d'Azur Airport, Nice, France"
XOG,"Orange-Caritat (BA 115) Air Base, Orange/Caritat, France"
PGF,"Perpignan-Rivesaltes (Llabanère) Airport, Perpignan/Rivesaltes, France"
CTT,"Le Castellet Airport, Le Castellet, France"
BAE,"Barcelonnette - Saint-Pons Airport, Le Castellet, France"
MPL,"Montpellier-Méditerranée Airport, Montpellier/Méditerranée, France"
BZR,"Béziers-Vias Airport, Béziers/Vias, France"
AVN,"Avignon-Caumont Airport, Avignon/Caumont, France"
GAT,"Gap - Tallard Airfield, France"
MEN,"Mende-Brenoux Airfield, Mende/Brénoux, France"
SCP,"Mont-Dauphin - St-Crépin Airport, Mende, France"
BVA,"Paris Beauvais Tillé Airport, Beauvais/Tillé, France"
EVX,"Évreux-Fauville (BA 105) Air Base, Évreux/Fauville, France"
LEH,"Le Havre Octeville Airport, Le Havre/Octeville, France"
XAB,"Abbeville, Abbeville, France"
ORE,"Orléans-Bricy (BA 123) Air Base, Orléans/Bricy, France"
XCR,"Châlons-Vatry Airport, Vatry, France"
LSO,"Les Sables-d'Olonne Talmont Airport, Les Sables-d'Olonne, France"
URO,"Rouen Airport, Rouen/Vallée de Seine, France"
TUF,"Tours-Val-de-Loire Airport, Tours/Val de Loire (Loire Valley), France"
CET,"Cholet Le Pontreau Airport, Cholet/Le Pontreau, France"
LVA,"Laval-Entrammes Airport, Laval/Entrammes, France"
LBG,"Paris-Le Bourget Airport, Paris, France"
CSF,"Creil Air Base, Creil, France"
XBX,"Bernay – St Martin Airport, Creil, France"
CDG,"Charles de Gaulle International Airport, Paris, France"
JDP,"Paris Issy-les-Moulineaux Heliport, Issy-les-Moulineaux, France"
TNF,"Toussus-le-Noble Airport, Toussus-le-Noble, France"
ORY,"Paris-Orly Airport, Paris, France"
POX,"Pontoise - Cormeilles-en-Vexin Airport, Cormeilles-en-Vexin, France"
VIY,"Villacoublay-Vélizy (BA 107) Air Base, Villacoublay/Vélizy, France"
NVS,"Nevers-Fourchambault Airport, Nevers/Fourchambault, France"
XME,"Maubeuge-Élesmes Airport, Maubeuge/Élesmes, France"
LIL,"Lille-Lesquin Airport, Lille/Lesquin, France"
HZB,"Merville-Calonne Airport, Merville/Calonne, France"
XCZ,"Charleville-Mézières Airport, Charleville-Mézières, France"
BES,"Brest Bretagne Airport, Brest/Guipavas, France"
CER,"Cherbourg-Maupertus Airport, Cherbourg/Maupertus, France"
DNR,"Dinard-Pleurtuit-Saint-Malo Airport, Dinard/Pleurtuit/Saint-Malo, France"
LBY,"La Baule-Escoublac Airport, La Baule-Escoublac, France"
GFR,"Granville Airport, Granville, France"
DOL,"Deauville-Saint-Gatien Airport, Deauville, France"
LRT,"Lorient South Brittany (Bretagne Sud) Airport, Lorient/Lann/Bihoué, France"
EDM,"La Roche-sur-Yon Airport, La Roche-sur-Yon/Les Ajoncs, France"
LDV,"Landivisiau Air Base, Landivisiau, France"
CFR,"Caen-Carpiquet Airport, Caen/Carpiquet, France"
LME,"Le Mans-Arnage Airport, Le Mans/Arnage, France"
RNS,"Rennes-Saint-Jacques Airport, Rennes/Saint-Jacques, France"
LAI,"Lannion-Côte de Granit Airport, Lannion, France"
UIP,"Quimper-Cornouaille Airport, Quimper/Pluguffan, France"
NTE,"Nantes Atlantique Airport, Nantes, France"
SBK,"Saint-Brieuc-Armor Airport, Saint-Brieuc/Armor, France"
MXN,"Morlaix-Ploujean Airport, Morlaix/Ploujean, France"
VNE,"Vannes-Meucon Airport, Vannes/Meucon, France"
SNR,"Saint-Nazaire-Montoir Airport, Saint-Nazaire/Montoir, France"
BSL,"EuroAirport Basel-Mulhouse-Freiburg Airport, Bâle/Mulhouse, France"
DIJ,"Dijon-Bourgogne Airport, Dijon/Longvic, France"
EPL,"Épinal-Mirecourt Airport, Épinal/Mirecourt, France"
ENC,"Nancy-Essey Airport, Nancy/Essey, France"
SXB,"Strasbourg Airport, Strasbourg, France"
TLN,"Toulon-Hyères Airport, Toulon/Hyères/Le Palyvestre, France"
FNI,"Nîmes-Arles-Camargue Airport, Nîmes/Garons, France"
LTT,"La Môle Airport, La Môle, France"
MQC,"Miquelon Airport, Miquelon, St. Pierre & Miquelon"
FSP,"St Pierre Airport, Saint-Pierre, St. Pierre & Miquelon"
PYR,"Andravida Air Base, Andravida, Greece"
AXD,"Dimokritos Airport, Alexandroupolis, Greece"
ATH,"Eleftherios Venizelos International Airport, Athens, Greece"
VOL,"Nea Anchialos Airport, Nea Anchialos, Greece"
LGE,"Mulan Airport, Lake Gregory, Australia"
JKH,"Chios Island National Airport, Chios Island, Greece"
JIK,"Ikaria Airport, Ikaria Island, Greece"
IOA,"Ioannina Airport, Ioannina, Greece"
HER,"Heraklion International Nikos Kazantzakis Airport, Heraklion, Greece"
KSO,"Kastoria National Airport, Kastoria, Greece"
KIT,"Kithira Airport, Kithira Island, Greece"
EFL,"Kefallinia Airport, Kefallinia Island, Greece"
KZS,"Kastelorizo Airport, Kastelorizo Island, Greece"
KLX,"Kalamata Airport, Kalamata, Greece"
KGS,"Kos Airport, Kos Island, Greece"
AOK,"Karpathos Airport, Karpathos Island, Greece"
CFU,"Ioannis Kapodistrias International Airport, Kerkyra Island, Greece"
KSJ,"Kasos Airport, Kasos Island, Greece"
KVA,"Alexander the Great International Airport, Kavala, Greece"
JKL,"Kalymnos Airport, Kalymnos Island, Greece"
KZI,"Filippos Airport, Kozani, Greece"
LRS,"Leros Airport, Leros Island, Greece"
LXS,"Limnos Airport, Limnos Island, Greece"
LRA,"Larisa Airport, Larisa, Greece"
JMK,"Mikonos Airport, Mykonos Island, Greece"
MLO,"Milos Airport, Milos Island, Greece"
MJT,"Mytilene International Airport, Mytilene, Greece"
LGN,"Linga Linga Airport, Linga Linga, Papua New Guinea"
JNX,"Naxos Airport, Naxos Island, Greece"
PAS,"Paros National Airport, Paros Island, Greece"
JTY,"Astypalaia Airport, Astypalaia Island, Greece"
PVK,"Aktion National Airport, Preveza/Lefkada, Greece"
RHO,"Diagoras Airport, Rodes Island, Greece"
GPA,"Araxos Airport, Patras, Greece"
CHQ,"Chania International Airport, Souda, Greece"
JSI,"Skiathos Island National Airport, Skiathos, Greece"
SMI,"Samos Airport, Samos Island, Greece"
JSY,"Syros Airport, Syros Island, Greece"
SPJ,"Sparti Airport, Sparti, Greece"
JTR,"Santorini Airport, Santorini Island, Greece"
JSH,"Sitia Airport, Crete Island, Greece"
SKU,"Skiros Airport, Skiros Island, Greece"
SKG,"Thessaloniki Macedonia International Airport, Thessaloniki, Greece"
ZTH,"Zakynthos International Airport ""Dionysios Solomos"", Zakynthos Island, Greece"
BUD,"Budapest Liszt Ferenc International Airport, Budapest, Hungary"
DEB,"Debrecen International Airport, Debrecen, Hungary"
MCQ,"Miskolc Airport, Miskolc, Hungary"
PEV,"Pécs-Pogány Airport, Pécs-Pogány, Hungary"
SOB,"Sármellék International Airport, Sármellék, Hungary"
TZR,"Taszár Air Base, Taszár, Hungary"
QAQ,"L'Aquila–Preturo Airport, L'Aquila, Italy"
CRV,"Crotone Airport, Crotone, Italy"
BRI,"Bari Karol Wojtyła Airport, Bari, Italy"
FOG,"Foggia ""Gino Lisa"" Airport, Foggia, Italy"
TAR,"Taranto-Grottaglie ""Marcello Arlotta"" Airport, Grottaglie, Italy"
LCC,"Lecce Galatina Air Base, Italy"
PSR,"Pescara International Airport, Pescara, Italy"
BDS,"Brindisi – Salento Airport, Brindisi, Italy"
SUF,"Lamezia Terme Airport, Lamezia Terme (CZ), Italy"
CIY,"Comiso Airport, Comiso, Italy"
CTA,"Catania-Fontanarossa Airport, Catania, Italy"
LMP,"Lampedusa Airport, Lampedusa, Italy"
PNL,"Pantelleria Airport, Pantelleria (TP), Italy"
PMO,"Falcone–Borsellino Airport, Palermo, Italy"
REG,"Reggio Calabria Airport, Reggio Calabria, Italy"
TPS,"Vincenzo Florio Airport Trapani-Birgi, Trapani (TP), Italy"
NSY,"Sigonella Navy Air Base, Sigonella (CT), Italy"
BLX,"Belluno Airport, Belluno (BL), Italy"
RAN,"Ravenna Airport, Ravenna, Italy"
AHO,"Alghero-Fertilia Airport, Alghero, Italy"
DCI,"Decimomannu Air Base, Decimomannu, Italy"
CAG,"Cagliari Elmas Airport, Cagliari, Italy"
OLB,"Olbia Costa Smeralda Airport, Olbia (SS), Italy"
FNU,"Oristano-Fenosu Airport, Oristano, Italy"
TTB,"Tortolì Airport, Arbatax, Italy"
MXP,"Malpensa International Airport, Milan, Italy"
BGY,"Il Caravaggio International Airport, Bergamo, Italy"
TRN,"Turin Airport, Torino, Italy"
ALL,"Villanova D'Albenga International Airport, Albenga (SV), Italy"
GOA,"Genoa Cristoforo Colombo Airport, Genova, Italy"
LIN,"Milano Linate Airport, Milan, Italy"
PMF,"Parma Airport, Parma, Italy"
AOT,"Aosta Airport, Aosta, Italy"
CUF,"Cuneo International Airport, Cuneo, Italy"
AVB,"Aviano Air Base, Aviano (PN), Italy"
BZO,"Bolzano Airport, Bolzano, Italy"
UDN,"Udine-Campoformido Air Base, Udine, Italy"
BLQ,"Bologna Guglielmo Marconi Airport, Bologna, Italy"
TSF,"Treviso-Sant'Angelo Airport, Treviso, Italy"
FRL,"Forlì Airport, Forlì (FC), Italy"
VBS,"Brescia Airport, Montichiari (BS), Italy"
TRS,"Trieste–Friuli Venezia Giulia Airport, Trieste, Italy"
RMI,"Federico Fellini International Airport, Rimini, Italy"
QPA,"Padova Airport, Padova, Italy"
VRN,"Verona Villafranca Airport, Verona, Italy"
AOI,"Ancona Falconara Airport, Ancona, Italy"
VCE,"Venice Marco Polo Airport, Venice, Italy"
LCV,"Lucca-Tassignano Airport, Lucca, Italy"
QRT,"Rieti Airport, Rieti, Italy"
SAY,"Siena-Ampugnano Airport, Siena, Italy"
QLP,"Sarzana-Luni Air Base, Sarzana (SP), Italy"
CIA,"Ciampino–G. B. Pastine International Airport, Rome, Italy"
FCO,"Leonardo da Vinci–Fiumicino Airport, Rome, Italy"
QSR,"Salerno Costa d'Amalfi Airport, Salerno, Italy"
EBA,"Marina Di Campo Airport, Marina  Di Campo, Italy"
QLT,"Latina Air Base, Latina, Italy"
NAP,"Naples International Airport, Nápoli, Italy"
PSA,"Pisa International Airport, Pisa, Italy"
FLR,"Peretola Airport, Firenze, Italy"
GRS,"Grosseto Air Base, Grosetto, Italy"
PEG,"Perugia San Francesco d'Assisi – Umbria International Airport, Perugia, Italy"
LJU,"Ljubljana Jože Pučnik Airport, Ljubljana, Slovenia"
MBX,"Maribor Airport, Slovenia"
POW,"Portoroz Airport, Portoroz, Slovenia"
LKC,"Lekana Airport, Lekana, Congo - Brazzaville"
UHE,"Kunovice Airport, Uherské Hradiště, Czechia"
KLV,"Karlovy Vary International Airport, Karlovy Vary, Czechia"
MKA,"Mariánské Lázně Airport, Mariánské Lázně, Czechia"
OSR,"Ostrava Leos Janáček Airport, Ostrava, Czechia"
OLO,"Olomouc-Neředín Airport, Olomouc, Czechia"
PED,"Pardubice Airport, Pardubice, Czechia"
PRV,"Přerov Air Base, Přerov, Czechia"
PRG,"Václav Havel Airport Prague, Prague, Czechia"
BRQ,"Brno-Tuřany Airport, Brno, Czechia"
VOD,"Vodochody Airport, Vodochody, Czechia"
ZBE,"Zabreh Ostrava Airport, Zabreh, Czechia"
TLV,"Ben Gurion International Airport, Tel Aviv, Israel"
BEV,"Beersheba (Teyman) Airport, Beersheba, Israel"
ETM,"Ramon Airport, Eilat, Israel"
EIY,"Ein Yahav Airfield, Sapir, Israel"
LLH,"Reginaldo Hammer Airport, La Lima, Honduras"
HFA,"Haifa International Airport, Haifa, Israel"
RPN,"Ben Ya'akov Airport, Rosh Pina, Israel"
KSW,"Kiryat Shmona Airport, Kiryat Shmona, Israel"
LLL,"Lissadell Airport, Lissadell Station, Australia"
MTZ,"Bar Yehuda Airfield, Masada, Israel"
VTM,"Nevatim Air Base, Beersheba, Israel"
VDA,"Ovda International Airport, Eilat, Israel"
MIP,"Ramon Air Base, Beersheba, Israel"
SDV,"Sde Dov Airport, Tel Aviv, Israel"
YOT,"Yotvata Airfield, Yotvata, Israel"
LMC,"La Macarena Airport, La Macarena, Colombia"
GZM,"Xewkija Heliport, Gozo, Malta"
MLA,"Malta International Airport, Valletta, Malta"
LMZ,"Palma Airport, Palma, Mozambique"
LNC,"Lengbati Airport, Papua New Guinea"
LNF,"Munbil Airport, Papua New Guinea"
LNM,"Langimar Airport, Papua New Guinea"
MCM,"Monaco Heliport, Fontvieille, Monaco"
HOH,"Hohenems-Dornbirn Airport, Hohenems / Dornbirn, Austria"
LOM,"Francisco Primo de Verdad y Ramos Airport, Lagos de Moreno, Mexico"
LOR,"Lowe AHP (Fort Rucker) Heliport, Fort Rucker Ozark, United States"
GRZ,"Graz Airport, Graz, Austria"
INN,"Innsbruck Airport, Innsbruck, Austria"
KLU,"Klagenfurt Airport, Klagenfurt am Wörthersee, Austria"
LNZ,"Linz Hörsching Airport, Linz, Austria"
SZG,"Salzburg Airport, Salzburg, Austria"
VIE,"Vienna International Airport, Vienna, Austria"
AVR,"Alverca Air Base, Vila Franca de Xira, Portugal"
SMA,"Santa Maria Airport, Vila do Porto, Portugal"
BGC,"Bragança Airport, Bragança, Portugal"
BYJ,"Beja Airport / Airbase, Beja, Portugal"
BGZ,"Braga Municipal Aerodrome, Braga, Portugal"
CHV,"Aerodromo de Chaves, Chaves, Portugal"
CVU,"Corvo Airport, Corvo, Portugal"
CAT,"Cascais Airport, Cascais, Portugal"
FLW,"Flores Airport, Santa Cruz das Flores, Portugal"
FAO,"Faro Airport, Faro, Portugal"
GRW,"Graciosa Airport, Santa Cruz da Graciosa, Portugal"
HOR,"Horta Airport, Horta, Portugal"
TER,"Lajes Airport, Praia da Vitória, Portugal"
FNC,"Madeira Airport, Funchal, Portugal"
QLR,"Monte Real Air Base, Portugal"
PDL,"João Paulo II Airport, Ponta Delgada, Portugal"
PIX,"Pico Airport, Pico Island, Portugal"
PRM,"Portimão Airport, Portimão, Portugal"
OPO,"Francisco de Sá Carneiro Airport, Porto, Portugal"
PXO,"Porto Santo Airport, Vila Baleira, Portugal"
LIS,"Humberto Delgado Airport (Lisbon Portela Airport), Lisbon, Portugal"
SJZ,"São Jorge Airport, Velas, Portugal"
VRL,"Vila Real Airport, Vila Real, Portugal"
VSE,"Aerodromo Goncalves Lobato (Viseu Airport), Viseu, Portugal"
BNX,"Banja Luka International Airport, Banja Luka, Bosnia & Herzegovina"
OMO,"Mostar International Airport, Mostar, Bosnia & Herzegovina"
SJJ,"Sarajevo International Airport, Sarajevo, Bosnia & Herzegovina"
TZL,"Tuzla International Airport, Tuzla, Bosnia & Herzegovina"
ARW,"Arad International Airport, Arad, Romania"
BCM,"Bacău Airport, Bacău, Romania"
BAY,"Maramureș International Airport, Baia Mare, Romania"
BBU,"Băneasa International Airport, Bucharest, Romania"
CND,"Mihail Kogălniceanu International Airport, Constanţa, Romania"
CLJ,"Cluj-Napoca International Airport, Cluj-Napoca, Romania"
CSB,"Caransebeş Airport, Caransebeş, Romania"
CRA,"Craiova Airport, Craiova, Romania"
IAS,"Iaşi Airport, Iaşi, Romania"
OMR,"Oradea International Airport, Oradea, Romania"
OTP,"Henri Coandă International Airport, Bucharest, Romania"
SBZ,"Sibiu International Airport, Sibiu, Romania"
SUJ,"Satu Mare Airport, Satu Mare, Romania"
SCV,"Suceava Stefan cel Mare Airport, Suceava, Romania"
TCE,"Tulcea Airport, Tulcea, Romania"
TGM,"Transilvania Târgu Mureş International Airport, Târgu Mureş, Romania"
TSR,"Timişoara Traian Vuia Airport, Timişoara, Romania"
GVA,"Geneva Cointrin International Airport, Geneva, Switzerland"
QLS,"Lausanne-Blécherette Airport, Lausanne, Switzerland"
QNC,"Neuchatel Airport, Switzerland"
SIR,"Sion Airport, Sion, Switzerland"
EML,"Emmen Air Base, Switzerland"
LUG,"Lugano Airport, Lugano, Switzerland"
BRN,"Bern Belp Airport, Bern, Switzerland"
BXO,"Buochs Airport, Buochs, Switzerland"
ZHI,"Grenchen Airport, Grenchen, Switzerland"
ZRH,"Zürich Airport, Zurich, Switzerland"
ZJI,"Locarno Airport, Locarno, Switzerland"
ACH,"St Gallen Altenrhein Airport, Altenrhein, Switzerland"
SMV,"Samedan Airport, Switzerland"
GKD,"Imroz Airport, Gökçeada, Turkey"
ESB,"Esenboğa International Airport, Ankara, Turkey"
ANK,"Etimesgut Air Base, Ankara, Turkey"
ADA,"Adana Airport, Adana, Turkey"
UAB,"İncirlik Air Base, Adana, Turkey"
AFY,"Afyon Airport, Afyonkarahisar, Turkey"
AYT,"Antalya International Airport, Antalya, Turkey"
GZT,"Gaziantep International Airport, Gaziantep, Turkey"
KFS,"Kastamonu Airport, Kastamonu, Turkey"
KYA,"Konya Airport, Konya, Turkey"
MZH,"Amasya Merzifon Airport, Amasya, Turkey"
VAS,"Sivas Nuri Demirağ Airport, Sivas, Turkey"
ONQ,"Zonguldak Airport, Zonguldak, Turkey"
MLX,"Malatya Erhaç Airport, Malatya, Turkey"
ASR,"Kayseri Erkilet Airport, Kayseri, Turkey"
TJK,"Tokat Airport, Tokat, Turkey"
DNZ,"Çardak Airport, Denizli, Turkey"
NAV,"Nevşehir Kapadokya Airport, Nevşehir, Turkey"
ISL,"Atatürk International Airport, Istanbul, Turkey"
CII,"Çıldır Airport, Aydın, Turkey"
BTZ,"Bursa Airport, Bursa, Turkey"
BZI,"Balıkesir Merkez Airport, Turkey"
BDM,"Bandırma Airport, Turkey"
CKZ,"Çanakkale Airport, Çanakkale, Turkey"
ESK,"Eskişehir Air Base, Turkey"
ADB,"Adnan Menderes International Airport, İzmir, Turkey"
IGL,"Çiğli Airport, Turkey"
USQ,"Uşak Airport, Uşak, Turkey"
KCO,"Cengiz Topel Airport, Turkey"
YEI,"Bursa Yenişehir Airport, Bursa, Turkey"
DLM,"Dalaman International Airport, Dalaman, Turkey"
TEQ,"Tekirdağ Çorlu Airport, Çorlu, Turkey"
BXN,"Imsık Airport, Turkey"
AOE,"Anadolu Airport, Eskişehir, Turkey"
KZR,"Zafer Airport, Altıntaş, Turkey"
EZS,"Elazığ Airport, Elazığ, Turkey"
DIY,"Diyarbakir Airport, Diyarbakir, Turkey"
ERC,"Erzincan Airport, Erzincan, Turkey"
ERZ,"Erzurum International Airport, Erzurum, Turkey"
KSY,"Kars Airport, Kars, Turkey"
TZX,"Trabzon International Airport, Trabzon, Turkey"
SFQ,"Şanlıurfa Airport, Şanlıurfa, Turkey"
VAN,"Van Ferit Melen Airport, Van, Turkey"
BAL,"Batman Airport, Batman, Turkey"
MSR,"Muş Airport, Muş, Turkey"
SXZ,"Siirt Airport, Siirt, Turkey"
NOP,"Sinop Airport, Sinop, Turkey"
KCM,"Kahramanmaraş Airport, Kahramanmaraş, Turkey"
AJI,"Ağrı Airport, Turkey"
ADF,"Adıyaman Airport, Adıyaman, Turkey"
MQM,"Mardin Airport, Mardin, Turkey"
GNY,"Şanlıurfa GAP Airport, Şanlıurfa, Turkey"
NKT,"Şırnak Şerafettin Elçi Airport, Şırnak, Turkey"
YKO,"Hakkari Yüksekova Airport, Hakkari, Turkey"
HTY,"Hatay Airport, Hatay, Turkey"
LTF,"Leitre Airport, Leitre, Papua New Guinea"
ISE,"Süleyman Demirel International Airport, Isparta, Turkey"
EDO,"Balıkesir Körfez Airport, Edremit, Turkey"
BJV,"Milas Bodrum International Airport, Bodrum, Turkey"
SZF,"Samsun Çarşamba Airport, Samsun, Turkey"
SAW,"Sabiha Gökçen International Airport, Istanbul, Turkey"
GZP,"Gazipaşa Airport, Gazipaşa, Turkey"
BZY,"Bălți International Airport, Bălți, Moldova"
KIV,"Chişinău International Airport, Chişinău, Moldova"
LUZ,"Lublin Airport, Lublin, Poland"
LWA,"Lebak Rural Airport, Lebak, Philippines"
OHD,"Ohrid St. Paul the Apostle Airport, Ohrid, North Macedonia"
SKP,"Skopje Alexander the Great Airport, Skopje, North Macedonia"
GIB,"Gibraltar Airport, Gibraltar, Gibraltar"
BCQ,"Brak Airport, Brak, Libya"
DNF,"Martubah Airport, Derna, Libya"
MRA,"Misratah Airport, Misratah, Libya"
QUB,"Ubari Airport, Ubari, Libya"
BEG,"Belgrade Nikola Tesla Airport, Belgrade, Serbia"
IVG,"Berane Airport, Berane, Montenegro"
BJY,"Batajnica Air Base, Batajnica, Serbia"
INI,"Nis Airport, Nis, Serbia"
QND,"Cenej Airport, Novi Sad, Serbia"
TGD,"Podgorica Airport, Podgorica, Montenegro"
TIV,"Tivat Airport, Tivat, Montenegro"
BTS,"M. R. Štefánik Airport, Bratislava, Slovakia"
KSC,"Košice Airport, Košice, Slovakia"
LUE,"Lučenec Airport, Lučenec, Slovakia"
PZY,"Piešťany Airport, Piešťany, Slovakia"
POV,"Prešov Air Base, Prešov, Slovakia"
SLD,"Sliač Airport, Sliač, Slovakia"
TAT,"Poprad-Tatry Airport, Poprad, Slovakia"
ILZ,"Žilina Airport, Žilina, Slovakia"
DRU,"Drummond Airport, Drummond, United States"
GLN,"Goulimime Airport, Goulimime, Morocco"
UWA,"Ware Airport, Ware, United States"
MAP,"Mamai Airport, Mamai, Papua New Guinea"
GDT,"JAGS McCartney International Airport, Cockburn Town, Turks & Caicos Islands"
MDS,"Middle Caicos Airport, Middle Caicos, Turks & Caicos Islands"
NCA,"North Caicos Airport, Turks & Caicos Islands"
PIC,"Pine Cay Airport, Pine Cay, Turks & Caicos Islands"
PLS,"Providenciales Airport, Providenciales Island, Turks & Caicos Islands"
XSC,"South Caicos Airport, Turks & Caicos Islands"
SLX,"Salt Cay Airport, Salt Cay, Turks & Caicos Islands"
BRX,"Maria Montez International Airport, Barahona, Dominican Republic"
CBJ,"Cabo Rojo Airport, Cabo Rojo, Dominican Republic"
AZS,"Samaná El Catey International Airport, Samana, Dominican Republic"
COZ,"Constanza - Expedición 14 de Junio National Airport, Costanza, Dominican Republic"
JBQ,"La Isabela International Airport, La Isabela, Dominican Republic"
LRM,"Casa De Campo International Airport, La Romana, Dominican Republic"
PUJ,"Punta Cana International Airport, Punta Cana, Dominican Republic"
EPS,"Samana El Portillo Airport, Samana, Dominican Republic"
POP,"Gregorio Luperon International Airport, Puerto Plata, Dominican Republic"
MDR,"Medfra Airport, Medfra, United States"
SDQ,"Las Américas International Airport, Santo Domingo, Dominican Republic"
STI,"Cibao International Airport, Santiago, Dominican Republic"
MDV,"Médouneu Airport, Médouneu, Gabon, Equatorial Guinea"
LIZ,"Loring International Airport, Limestone, United States"
MEF,"Melfi Airport, Melfi, Chad"
OHB,"Ambohibary Airport, Moramanga, Madagascar"
DOA,"Doany Airport, Doany, Madagascar"
CBV,"Coban Airport, Coban, Guatemala"
CMM,"Carmelita Airport, Carmelita, Guatemala"
CTF,"Coatepeque Airport, Coatepeque, Guatemala"
GUA,"La Aurora Airport, Guatemala City, Guatemala"
HUG,"Huehuetenango Airport, Huehuetenango, Guatemala"
MCR,"Melchor de Mencos Airport, Melchor de Mencos, Guatemala"
MGP,"Manga Airport, Manga Mission, Papua New Guinea"
PBR,"Puerto Barrios Airport, Puerto Barrios, Guatemala"
PON,"Poptún Airport, Poptún, Guatemala"
AQB,"Santa Cruz del Quiche Airport, Santa Cruz del Quiche, Guatemala"
AAZ,"Quezaltenango Airport, Quezaltenango, Guatemala"
RUV,"Rubelsanto Airport, Rubelsanto, Guatemala"
LCF,"Las Vegas Airport, Rio Dulce, Guatemala"
RER,"Retalhuleu Airport, Retalhuleu, Guatemala"
GSJ,"San José Airport, Puerto San José, Guatemala"
FRS,"Mundo Maya International Airport, San Benito, Guatemala"
AIM,"Ailuk Airport, Ailuk Island, Marshall Islands"
AUL,"Aur Island Airport, Aur Atoll, Marshall Islands"
BII,"Enyu Airfield, Bikini Atoll, Marshall Islands"
EBN,"Ebadon Airport, Ebadon Island, Marshall Islands"
JAT,"Jabot Airport, Ailinglapalap Atoll, Marshall Islands"
JEJ,"Jeh Airport, Ailinglapalap Atoll, Marshall Islands"
KBT,"Kaben Airport, Kaben, Marshall Islands"
LIK,"Likiep Airport, Likiep Island, Marshall Islands"
LML,"Lae Island Airport, Lae Island, Marshall Islands"
MAV,"Maloelap Island Airport, Maloelap Island, Marshall Islands"
MJB,"Mejit Atoll Airport, Mejit Atoll, Marshall Islands"
MJE,"Majkin Airport, Majkin, Marshall Islands"
NDK,"Namorik Atoll Airport, Namorik Atoll, Marshall Islands"
RNP,"Rongelap Island Airport, Rongelap Island, Marshall Islands"
TIC,"Tinak Airport, Arno Atoll, Marshall Islands"
UIT,"Jaluit Airport, Jabor Jaluit Atoll, Marshall Islands"
WJA,"Woja Airport, Woja, Marshall Islands"
WTE,"Wotje Atoll Airport, Wotje Atoll, Marshall Islands"
WTO,"Wotho Island Airport, Wotho Island, Marshall Islands"
AHS,"Ahuas Airport, Ahuas, Honduras"
BHG,"Brus Laguna Airport, Brus Laguna, Honduras"
CAA,"Catacamas Airport, Catacamas, Honduras"
LUI,"Carta Airport, La Unión, Honduras"
